name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost2plates,type
Dakshin Restaurant,Yes,No,good,16,Brigade Road,Casual Dining,others,800,Delivery
Little Kolkata,Yes,No,good,97,Ejipura,Quick Bites,others,500,Delivery
Assi Tussi Lassi,Yes,No,good,25,Ejipura,others,others,200,Delivery
Crunch Pizzas - Express Delivery,Yes,No,bad,235,Indiranagar,Delivery,Pizza,500,Delivery
Kick Out the Jams,Yes,No,insane,528,Ejipura,Delivery,others,350,Delivery
Bhartiya Jalpan,No,No,insane,1075,Indiranagar,Casual Dining,others,800,Delivery
Sabari Juice Junction,Yes,No,insane,128,others,others,others,250,Delivery
The Waffles Hut,Yes,No,good,36,Indiranagar,Dessert Parlor,Desserts,250,Delivery
Faasos,Yes,No,good,140,Indiranagar,Delivery,others,500,Delivery
InnerChef,Yes,No,good,270,Indiranagar,Delivery,"North Indian, Continental",500,Delivery
Wow Paratha,Yes,No,good,29,others,Delivery,North Indian,400,Delivery
Pasta Street,Yes,Yes,insane,1619,Indiranagar,Casual Dining,others,1300,Delivery
Nagarjuna,No,No,insane,1926,Indiranagar,Casual Dining,"Andhra, Biryani",850,Delivery
Monkey Bar,Yes,No,insane,3848,Indiranagar,others,others,1400,Delivery
Skoolroom,Yes,No,insane,566,Ulsoor,Cafe,others,700,Delivery
Utse Kitchen,Yes,No,insane,171,Commercial Street,Casual Dining,others,800,Delivery
Dakshin Biryani & Tiffin,Yes,No,bad,334,Indiranagar,Casual Dining,others,550,Delivery
The Yogisthaan Cafe,Yes,No,insane,1204,Indiranagar,Cafe,others,600,Delivery
Chung Wah,Yes,No,insane,359,Residency Road,Casual Dining,others,1000,Delivery
Dhaba - Estd 1986 Delhi,Yes,Yes,insane,1420,Indiranagar,"Casual Dining, Bar",North Indian,1100,Delivery
Cafe Azzure,Yes,Yes,insane,2654,MG Road,Cafe,others,1200,Delivery
Portland Steakhouse & Cafe,Yes,Yes,insane,2039,MG Road,Casual Dining,others,1500,Delivery
Container Coffee,Yes,No,good,0,Ulsoor,Quick Bites,South Indian,200,Delivery
Pizza Stop,Yes,No,bad,166,Domlur,Quick Bites,others,600,Delivery
McDonald's,Yes,No,good,388,Indiranagar,Quick Bites,"Burger, Fast Food",500,Delivery
The Paramount Hotel,Yes,No,bad,319,Domlur,Casual Dining,others,1000,Delivery
Paratha Corner,Yes,No,bad,23,others,Quick Bites,North Indian,150,Delivery
World In A Bowl,Yes,No,bad,34,Indiranagar,Delivery,others,600,Delivery
Urban Tamaasha,Yes,Yes,insane,840,Indiranagar,Casual Dining,"North Indian, Chinese, Continental",1200,Delivery
YumYumSouth,Yes,No,bad,38,Indiranagar,Delivery,South Indian,600,Delivery
Aagaman Veg,Yes,No,insane,556,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian",900,Delivery
Laughing Llama Gastropub,Yes,Yes,insane,389,Brigade Road,others,others,1600,Delivery
Mota Bawarchi,Yes,No,good,55,Indiranagar,"Takeaway, Delivery","North Indian, Fast Food",500,Delivery
Hotel Devanand Kerala Restaurant,Yes,No,bad,94,others,Quick Bites,Kerala,300,Delivery
Taiki,Yes,Yes,good,0,Indiranagar,Casual Dining,others,1000,Delivery
Oregano Pizzeria,Yes,No,bad,60,Frazer Town,Quick Bites,"Italian, Pizza",300,Delivery
Bite Me Cupcakes,Yes,No,insane,624,Indiranagar,Dessert Parlor,Desserts,300,Delivery
Cafe Grill,Yes,No,insane,496,others,Quick Bites,others,300,Delivery
Omleterian,Yes,No,good,0,others,Quick Bites,others,200,Delivery
Tea Brew,Yes,No,insane,1145,Indiranagar,others,others,500,Delivery
Wangs Kitchen,Yes,No,bad,22,Ulsoor,Casual Dining,Chinese,1000,Delivery
Bombay Brasserie,Yes,No,insane,1865,Indiranagar,Casual Dining,others,1800,Delivery
Cafe Coffee Day,Yes,No,good,72,Indiranagar,Cafe,"Cafe, Fast Food",900,Delivery
The Chef's Cake & Bakes,Yes,No,good,0,Richmond Road,Dessert Parlor,Desserts,800,Delivery
Momo Time,Yes,No,good,0,Ulsoor,"Takeaway, Delivery",others,300,Delivery
Bun Maska Chai,Yes,No,good,120,others,Quick Bites,others,250,Delivery
Hotel Karavali,Yes,No,good,257,others,Quick Bites,others,450,Delivery
Pind Balluchi,Yes,Yes,insane,1021,Brigade Road,Casual Dining,"North Indian, Mughlai",700,Delivery
Yomama!!,Yes,Yes,insane,340,Indiranagar,Quick Bites,others,800,Delivery
Srinathji's,Yes,Yes,good,592,Indiranagar,Casual Dining,others,850,Delivery
Domino's Pizza,Yes,No,good,117,MG Road,Quick Bites,"Pizza, Fast Food",800,Delivery
No More Hungry,Yes,No,bad,214,others,Quick Bites,North Indian,450,Delivery
Thai House,Yes,No,insane,125,Brigade Road,Casual Dining,others,700,Delivery
Stoner,Yes,No,insane,2686,Indiranagar,others,others,550,Delivery
Sagar Delicacy,Yes,No,good,87,Ulsoor,Casual Dining,others,500,Delivery
Chung Wah Express,Yes,No,bad,94,Indiranagar,Casual Dining,others,600,Delivery
Nandhana Palace,No,Yes,insane,902,Indiranagar,"Casual Dining, Bar",others,800,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,bad,564,Indiranagar,Casual Dining,others,200,Delivery
Ambur Star Briyani,Yes,No,good,17,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani",500,Delivery
Haldiram's Express,Yes,No,good,44,Brigade Road,others,North Indian,300,Delivery
Roll Er Dokaan,Yes,No,good,137,others,Quick Bites,others,300,Delivery
The Cake House,Yes,No,good,29,Ulsoor,Bakery,"Bakery, Desserts",300,Delivery
Bangalore Mandarin,Yes,No,insane,970,Indiranagar,Casual Dining,others,1100,Delivery
Mad Over Donuts,Yes,No,good,148,Brigade Road,others,others,450,Delivery
Slurpy Shakes,Yes,No,good,0,Domlur,"Takeaway, Delivery",Beverages,300,Delivery
Malabar,Yes,No,bad,159,others,Casual Dining,South Indian,400,Delivery
Thunder Fried Chicken,Yes,No,good,179,others,Quick Bites,others,350,Delivery
Artinci Artisanal Ice Cream,Yes,No,good,0,others,Dessert Parlor,"Desserts, Ice Cream",300,Delivery
Treat,Yes,No,good,543,Indiranagar,Casual Dining,"North Indian, Mughlai",800,Delivery
Tango Bango,Yes,No,bad,124,others,"Takeaway, Delivery",others,500,Delivery
Vimmi's Cafe,Yes,No,bad,29,Indiranagar,"Takeaway, Delivery",others,500,Delivery
Pizza Joint Food Junction,Yes,No,bad,8,Indiranagar,Quick Bites,others,350,Delivery
Peace Restaurant,Yes,No,bad,124,Indiranagar,Quick Bites,others,500,Delivery
Mummy's Kitchen,Yes,No,bad,9,Banaswadi,"Takeaway, Delivery",South Indian,300,Delivery
Belgian Waffle Factory,Yes,No,insane,1735,Brigade Road,Dessert Parlor,Desserts,400,Delivery
Fruit Face,Yes,No,good,21,Indiranagar,others,others,300,Delivery
UBCR,Yes,No,bad,5,Indiranagar,others,others,350,Delivery
Manju's Kitchen,Yes,No,bad,13,Indiranagar,Quick Bites,Biryani,200,Delivery
Asaivam Restaurant,Yes,No,insane,69,Indiranagar,Casual Dining,others,750,Delivery
Vijaya Gardenia,Yes,No,bad,63,Banaswadi,Casual Dining,others,500,Delivery
Imli,Yes,No,good,1837,Indiranagar,Casual Dining,"North Indian, Street Food",900,Delivery
Biggies Burger 'n' More,Yes,No,insane,183,Indiranagar,Quick Bites,others,650,Delivery
Cane Crussh,Yes,No,good,0,Whitefield,others,others,100,Delivery
Classic Lassi Shop,Yes,No,bad,43,Ulsoor,others,others,150,Delivery
Kanti Sweets,Yes,No,good,123,Indiranagar,others,"Mithai, Street Food",400,Delivery
Royanna Military Canteen,Yes,No,good,0,Brigade Road,Quick Bites,"South Indian, Biryani",200,Delivery
Jonah's,Yes,Yes,insane,1827,Indiranagar,"Casual Dining, Bar",others,1100,Delivery
Mamagoto,Yes,Yes,insane,2558,Indiranagar,Casual Dining,others,1600,Delivery
Naachiyar's,Yes,No,good,117,Ulsoor,Casual Dining,others,600,Delivery
Aaha Andhra,No,No,insane,807,Indiranagar,Casual Dining,others,900,Delivery
Sethji Home Made Food,Yes,No,good,228,Indiranagar,Quick Bites,North Indian,350,Delivery
Grubhouse,Yes,No,insane,332,Indiranagar,others,others,800,Delivery
Brea,Yes,No,bad,34,others,others,others,300,Delivery
Chai Masthi,Yes,No,bad,9,Domlur,Quick Bites,others,200,Delivery
Ente Keralam,Yes,No,insane,1095,Ulsoor,Casual Dining,others,1300,Delivery
Rotti Mane,Yes,No,bad,16,others,Quick Bites,South Indian,200,Delivery
Vinny's,Yes,No,good,205,Brigade Road,Casual Dining,others,800,Delivery
Kolkata Rolls & Hot Dum Biriyani On Dial,Yes,No,bad,22,Indiranagar,Quick Bites,"Fast Food, Rolls",400,Delivery
Ibaco,Yes,No,insane,289,Indiranagar,Dessert Parlor,Desserts,300,Delivery
Sanchez Taqueria & Cantina,No,No,good,0,Indiranagar,Casual Dining,others,800,Delivery
Gobble Up Churros Cafe,Yes,No,insane,374,Indiranagar,Dessert Parlor,others,400,Delivery
Omleterian,Yes,No,good,0,Ulsoor,Delivery,others,200,Delivery
Frozen Bottle,Yes,No,insane,167,Indiranagar,others,others,400,Delivery
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,bad,54,Indiranagar,Delivery,Continental,500,Delivery
Panchavati Gaurav Thali,Yes,Yes,insane,930,Brigade Road,Casual Dining,others,800,Delivery
Food Coma,No,Yes,good,0,Indiranagar,Casual Dining,others,800,Delivery
Mama Mia!,Yes,No,insane,420,Indiranagar,others,others,400,Delivery
Red Chilliez,Yes,No,good,216,others,Casual Dining,others,550,Delivery
Lono,No,Yes,insane,172,Indiranagar,others,others,1500,Delivery
Laddoos,Yes,No,bad,229,others,others,others,250,Delivery
Kartik's Mithai Shoppe,Yes,No,insane,110,Indiranagar,others,"Mithai, Street Food",150,Delivery
The Belgian Waffle Co.,Yes,No,insane,71,Indiranagar,Dessert Parlor,Desserts,400,Delivery
One Chu Restaurant,Yes,No,good,324,Old Airport Road,Casual Dining,"Chinese, Momos",600,Delivery
Kolkatta Famous Chat,Yes,No,good,22,Indiranagar,Quick Bites,others,100,Delivery
Anjappar,No,No,good,768,Indiranagar,Casual Dining,others,650,Delivery
Ovenstory Pizza,Yes,No,insane,106,Old Airport Road,Delivery,Pizza,750,Delivery
Mood For Food,Yes,No,insane,146,others,Casual Dining,"North Indian, Biryani",800,Delivery
Lazy Suzy,Yes,Yes,insane,1236,Indiranagar,others,others,1000,Delivery
Jenisha Green View Restaurant,Yes,No,good,0,Ejipura,Quick Bites,"North Indian, Fast Food",500,Delivery
SLV Andhra Mess,Yes,No,bad,5,Domlur,Quick Bites,"Chinese, North Indian",200,Delivery
Kobe Sizzlers,Yes,Yes,insane,1473,Indiranagar,Casual Dining,others,1500,Delivery
Cake Palace,Yes,No,bad,11,Indiranagar,Dessert Parlor,Bakery,100,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Secret Alley,Yes,No,insane,84,Indiranagar,Cafe,others,450,Delivery
Ooty Chocolates,Yes,No,good,55,Indiranagar,Dessert Parlor,Desserts,300,Delivery
Fabcafe,Yes,Yes,insane,54,MG Road,Cafe,others,800,Delivery
Chillikum,Yes,No,good,38,Indiranagar,Quick Bites,North Indian,350,Delivery
Chung's Chinese Corner,Yes,No,bad,283,Indiranagar,Casual Dining,Chinese,700,Delivery
All Shook Up!,Yes,No,good,77,Domlur,others,"Desserts, Beverages",300,Delivery
Power House Pitstsa,No,Yes,good,0,Indiranagar,Casual Dining,others,800,Delivery
Sri Krishna Sweets,Yes,No,good,32,Indiranagar,others,others,250,Delivery
Suvaai Restaurant,Yes,No,bad,11,Indiranagar,Quick Bites,South Indian,100,Delivery
Roll Over,Yes,No,insane,216,Indiranagar,Dessert Parlor,others,500,Delivery
Waffle Stories,Yes,No,good,31,Banaswadi,others,"Desserts, Beverages",300,Delivery
Tandoor,Yes,Yes,good,1360,MG Road,others,North Indian,2100,Delivery
Vijayalaxmi Veg,Yes,No,good,0,Banaswadi,Quick Bites,others,200,Delivery
The Chef's Cake & Bakes,Yes,No,good,0,Ejipura,Delivery,Bakery,450,Delivery
The Twisted Desi,Yes,Yes,good,0,Indiranagar,Casual Dining,others,1000,Delivery
Desi Deck,Yes,Yes,good,96,Brigade Road,"Casual Dining, Bar",others,1300,Delivery
Pabrai's Fresh & Naturelle Icecreams,Yes,No,insane,131,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",180,Delivery
Sweet Truth,Yes,No,insane,28,others,Bakery,"Bakery, Desserts",500,Delivery
WOW! Momo,Yes,No,bad,71,others,Quick Bites,others,400,Delivery
Crispy Fried Chicken,Yes,No,bad,11,Old Airport Road,Quick Bites,"Burger, Fast Food",150,Delivery
House Of Candy,Yes,No,good,0,Banaswadi,others,Desserts,200,Delivery
Venus Biryani,Yes,No,bad,143,Domlur,Quick Bites,others,200,Delivery
Cookie Man,Yes,No,bad,36,Brigade Road,Dessert Parlor,Bakery,150,Delivery
Budget Food,Yes,Yes,bad,43,Old Airport Road,Casual Dining,"North Indian, Biryani",700,Delivery
Nizaam's Kaati Rolls & Kebabs,Yes,No,good,110,others,Quick Bites,others,450,Delivery
GMT - Gelateria Montecatini Terme,Yes,No,insane,275,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300,Delivery
Cafe Terra,Yes,No,insane,391,Indiranagar,Cafe,others,500,Delivery
The Kitchen Chef,Yes,No,bad,94,Old Airport Road,Delivery,others,500,Delivery
The Cake Mart,Yes,No,bad,22,Old Airport Road,Bakery,"Bakery, Desserts",600,Delivery
Supreme Biryani,Yes,No,good,0,Ulsoor,Delivery,Biryani,400,Delivery
The Ganache Factory,Yes,No,insane,41,Domlur,others,"Desserts, Bakery",400,Delivery
Popat,Yes,No,bad,43,Indiranagar,Quick Bites,North Indian,300,Delivery
Eddy's Cafe,Yes,No,insane,137,Indiranagar,Cafe,others,750,Delivery
Milkacium,Yes,No,good,0,Indiranagar,others,Beverages,400,Delivery
Bekal,Yes,No,insane,277,others,Casual Dining,others,700,Delivery
Bhavani Sri,Yes,No,bad,110,Indiranagar,Casual Dining,others,700,Delivery
The Punjabi Rasoi,No,Yes,insane,2008,Indiranagar,Casual Dining,North Indian,800,Delivery
Srinidhi Fast Food,Yes,No,good,0,others,Quick Bites,Fast Food,400,Delivery
Sri Srinivas Park Hotel,Yes,No,good,0,BTM,Quick Bites,"North Indian, South Indian",250,Delivery
Rahhams,Yes,No,bad,413,Old Airport Road,Casual Dining,others,700,Delivery
Wow Vada Pav,Yes,No,good,27,Indiranagar,Quick Bites,others,250,Delivery
Infinitea Tea Room & Tea Store,Yes,Yes,insane,766,Indiranagar,others,others,1000,Delivery
Hatti Kaapi,Yes,No,good,30,Ulsoor,Quick Bites,others,200,Delivery
Chilli Chicken,Yes,No,bad,7,Brigade Road,Quick Bites,Fast Food,500,Delivery
Panda Foods,Yes,No,bad,13,Marathahalli,Quick Bites,others,300,Delivery
Gooey & Fluffy,Yes,No,good,89,others,Delivery,"Desserts, Bakery",200,Delivery
Kaayal,Yes,No,bad,253,others,Casual Dining,others,500,Delivery
Tewari Bros Mithai Shoppie,Yes,No,good,59,Commercial Street,others,others,300,Delivery
Teppan Japanese Grill & Sushi Bar,Yes,No,insane,901,Ulsoor,Casual Dining,others,2000,Delivery
Punjabi Dhaba,Yes,No,bad,53,Indiranagar,Quick Bites,"North Indian, Chinese",300,Delivery
Kulcha Kulture,Yes,No,bad,13,Indiranagar,Delivery,North Indian,400,Delivery
Foodhall,Yes,No,insane,111,MG Road,Casual Dining,others,1000,Delivery
Bean Flickers,Yes,No,insane,391,Indiranagar,Cafe,others,700,Delivery
Ciclo Cafe,Yes,No,insane,1273,Indiranagar,others,others,1000,Delivery
Swagath Authentic Nati Style,Yes,No,good,0,Indiranagar,Casual Dining,"Biryani, North Indian",350,Delivery
Waffle Magic,No,No,insane,583,Indiranagar,Cafe,"Cafe, Desserts",700,Delivery
Ramji Chaiwale,Yes,No,good,122,Old Airport Road,Quick Bites,"Beverages, Fast Food",250,Delivery
Paratha Xpress,Yes,No,bad,7,Ulsoor,Quick Bites,"North Indian, Chinese",200,Delivery
Woodfire Pizza,Yes,No,bad,30,others,Delivery,"Pizza, Fast Food",400,Delivery
Juicy,Yes,No,good,80,Old Airport Road,others,others,200,Delivery
Just Kulfi,Yes,No,bad,6,Indiranagar,Dessert Parlor,others,300,Delivery
Shake It Off,Yes,No,insane,159,Indiranagar,Quick Bites,"Beverages, Fast Food",600,Delivery
Ayda Persian Kitchen,Yes,No,good,224,Church Street,Casual Dining,others,950,Delivery
Maravanthe,Yes,Yes,insane,654,Indiranagar,Casual Dining,others,1000,Delivery
Ghar Ka Bhojan,Yes,No,bad,7,Domlur,Delivery,others,200,Delivery
BIB-Breakfast In The Box,Yes,No,good,0,Ulsoor,Quick Bites,others,600,Delivery
Gelato Italiano,Yes,No,bad,4,Kammanahalli,others,others,200,Delivery
Meaza Ginger Multi Cuisine Restaurant,Yes,No,good,91,Indiranagar,Casual Dining,others,550,Delivery
Swaad,Yes,No,bad,25,others,Quick Bites,North Indian,200,Delivery
Drunken Monkey,Yes,No,good,209,Indiranagar,others,"Beverages, Fast Food",400,Delivery
Tayabbs,Yes,No,insane,736,Indiranagar,Quick Bites,others,500,Delivery
Baba Da Dhaba,No,Yes,insane,364,Indiranagar,Casual Dining,North Indian,650,Delivery
Kadamba Foodline,Yes,No,good,28,Ulsoor,Casual Dining,others,400,Delivery
Kaulige Millet Corner,Yes,No,insane,32,Brigade Road,Quick Bites,others,300,Delivery
Petoo,Yes,No,insane,220,others,Casual Dining,others,800,Delivery
INDULGE by InnerChef,Yes,No,bad,27,Indiranagar,Bakery,"Desserts, Bakery",400,Delivery
Peacock,Yes,Yes,good,847,Indiranagar,Casual Dining,others,1200,Delivery
NoLimmits Lounge and Club,Yes,Yes,insane,2096,Brigade Road,others,others,2000,Delivery
Munchies,Yes,No,good,65,Brigade Road,others,others,250,Delivery
Tiffinwala,Yes,No,good,0,Indiranagar,"Takeaway, Delivery","North Indian, Chinese",500,Delivery
Mangalore pearl - Seafood Restaurant,Yes,No,insane,94,Ulsoor,Casual Dining,others,550,Delivery
Spicy Corner,Yes,No,good,187,others,Quick Bites,others,250,Delivery
NutriFit,Yes,No,good,0,Indiranagar,Quick Bites,others,200,Delivery
Little Italy,Yes,Yes,insane,3276,Indiranagar,Casual Dining,others,1400,Delivery
Kabab Nation Corner,Yes,No,bad,76,Brigade Road,Quick Bites,others,500,Delivery
Kumbakonam Degree Coffee,Yes,No,good,66,Indiranagar,Quick Bites,"South Indian, Fast Food",200,Delivery
Bites 2 Binge,Yes,No,good,19,Indiranagar,Casual Dining,North Indian,750,Delivery
Sree Ganesh Juice Center,Yes,No,good,0,Indiranagar,Quick Bites,others,100,Delivery
Tandoori Taal,Yes,Yes,insane,1788,Indiranagar,Casual Dining,"Biryani, North Indian",900,Delivery
Goli Vada Pav No. 1,Yes,No,good,33,Ulsoor,Quick Bites,Street Food,200,Delivery
Singh Saab,Yes,No,good,243,Indiranagar,Casual Dining,North Indian,850,Delivery
Nutty Squirrel,Yes,No,good,12,others,"Takeaway, Delivery","Ice Cream, Desserts",300,Delivery
Sri Ganesha Fruit Juice Centre,Yes,No,bad,17,Domlur,others,others,100,Delivery
Sri Udupi,Yes,No,good,0,Old Airport Road,Casual Dining,others,300,Delivery
Cafe Idly,Yes,No,bad,35,others,Quick Bites,"South Indian, Fast Food",200,Delivery
Umami & Beyond,Yes,No,good,23,Indiranagar,"Takeaway, Delivery",others,400,Delivery
Sidewalk Cafe & Bar - The Paul Bangalore,Yes,Yes,insane,217,Domlur,Casual Dining,others,1500,Delivery
Cake Dilim,Yes,No,good,0,others,Bakery,Bakery,500,Delivery
Wolf'ish,Yes,No,insane,456,Church Street,Cafe,others,700,Delivery
Big Mummy,Yes,No,good,214,Indiranagar,Quick Bites,others,400,Delivery
Kisna Cafe,Yes,No,bad,11,Old Airport Road,Quick Bites,"South Indian, North Indian",300,Delivery
Little White Kitchen,Yes,No,good,18,Brigade Road,Quick Bites,others,200,Delivery
Bangalore Durbar Fast Food,Yes,No,good,18,others,"Takeaway, Delivery",others,600,Delivery
Cobaja,Yes,Yes,insane,55,Brigade Road,Casual Dining,others,700,Delivery
Apsara Ice Cream,No,No,insane,206,Indiranagar,Dessert Parlor,"Ice Cream, Desserts",200,Delivery
Nossa Goa,Yes,Yes,insane,292,Richmond Road,Casual Dining,others,1000,Delivery
The Table,Yes,No,good,39,Indiranagar,Bakery,"Bakery, Desserts",400,Delivery
China Bistro & Lounge,Yes,Yes,insane,83,Indiranagar,Casual Dining,others,1600,Delivery
Kitchen On Table,Yes,No,insane,45,Brigade Road,Casual Dining,others,1500,Delivery
Ideal Kitchen,Yes,No,bad,26,Indiranagar,Quick Bites,others,250,Delivery
Kalavara,Yes,No,bad,13,others,Quick Bites,others,150,Delivery
The Tao Terraces,Yes,Yes,insane,1907,MG Road,Casual Dining,others,2100,Delivery
DVG Benne Dosa,Yes,No,insane,25,Domlur,Quick Bites,South Indian,150,Delivery
The Chariot,Yes,No,bad,50,Brigade Road,Quick Bites,"South Indian, North Indian, Chinese",350,Delivery
Chantilly,Yes,No,insane,114,Indiranagar,others,"Cafe, Bakery",450,Delivery
Spices,Yes,No,bad,4,others,Quick Bites,others,450,Delivery
Carnival de Goa,Yes,Yes,insane,980,Ulsoor,"Casual Dining, Bar",others,1000,Delivery
Cake Genie,No,No,good,149,Indiranagar,Dessert Parlor,others,300,Delivery
Namdhari's Salad Bar,No,No,good,82,Indiranagar,Quick Bites,others,300,Delivery
Pathy's Kitchen,Yes,No,bad,21,Indiranagar,Quick Bites,Andhra,500,Delivery
Yauatcha PÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢tisserie,Yes,No,good,53,MG Road,Dessert Parlor,Desserts,600,Delivery
Tuffreys,Yes,No,good,25,others,Dessert Parlor,"Desserts, Ice Cream",250,Delivery
Galli Belly,Yes,No,bad,8,Domlur,Quick Bites,others,200,Delivery
Green G Juice Bar,Yes,No,bad,37,Indiranagar,others,others,200,Delivery
Copper Chimney,Yes,Yes,insane,80,Indiranagar,Casual Dining,"North Indian, Biryani",1200,Delivery
Kya Khaoge,Yes,No,good,63,Old Airport Road,Delivery,"North Indian, Chinese",300,Delivery
Fai Dang,No,No,good,30,Indiranagar,Casual Dining,others,1100,Delivery
The Rolling Pin,No,No,insane,74,Indiranagar,others,"Bakery, Desserts",400,Delivery
Shadow Kolkata Katti Rolls & Momos,Yes,No,good,0,Brigade Road,Quick Bites,others,250,Delivery
Status,Yes,No,good,119,Old Airport Road,Casual Dining,"Chinese, North Indian",550,Delivery
The Ants Cafe & Store,Yes,Yes,good,1380,Indiranagar,Cafe,others,900,Delivery
Mudaliar's Kitchen,Yes,No,good,0,Frazer Town,Delivery,South Indian,500,Delivery
Baskin Robbins,Yes,No,good,47,Old Airport Road,Dessert Parlor,"Ice Cream, Desserts",250,Delivery
Eat Food,Yes,No,good,0,Indiranagar,Delivery,others,400,Delivery
AhimsaAmrit Green Cafe,No,No,bad,9,Indiranagar,Casual Dining,others,800,Delivery
South Inn,Yes,No,bad,24,Frazer Town,Quick Bites,South Indian,150,Delivery
Sreeraj Lassi Bar,Yes,No,good,169,Commercial Street,others,Beverages,150,Delivery
Cafe Soy,Yes,No,good,47,Indiranagar,"Takeaway, Delivery",others,250,Delivery
Cafe Braqa,Yes,Yes,insane,144,Indiranagar,Cafe,others,700,Delivery
Chefkraft,No,No,good,145,Indiranagar,"Takeaway, Delivery",others,800,Delivery
Snack'Ups,Yes,No,good,61,others,Quick Bites,Fast Food,250,Delivery
Le Rock,Yes,No,insane,1202,Brigade Road,others,others,2000,Delivery
Meat And Eat,Yes,No,bad,73,Domlur,Quick Bites,"Fast Food, Burger",500,Delivery
Sai Donne Biryani,Yes,No,bad,9,Indiranagar,Quick Bites,others,350,Delivery
New Punjabi Hotel,No,No,good,123,Indiranagar,Quick Bites,"North Indian, Chinese",350,Delivery
Ice Cream Works,Yes,No,good,83,Indiranagar,Dessert Parlor,others,300,Delivery
Hit And Run,Yes,No,good,0,Ulsoor,Delivery,others,300,Delivery
Xian,Yes,Yes,good,81,Ulsoor,Casual Dining,"Chinese, Thai",800,Delivery
Bottle & Glass,No,Yes,insane,973,Indiranagar,others,others,1400,Delivery
Midnight Mania,Yes,No,insane,720,Koramangala 6th Block,Delivery,others,700,Delivery
Desi Bytes,Yes,No,bad,97,Old Airport Road,Quick Bites,"North Indian, Chinese",450,Delivery
Classic Shop,Yes,No,bad,6,Ulsoor,others,others,150,Delivery
Bat Chef,Yes,No,bad,26,Indiranagar,Quick Bites,Fast Food,500,Delivery
CakeZone,No,No,insane,666,Indiranagar,Bakery,"Bakery, Desserts",500,Delivery
Sweet Chariot,Yes,No,bad,11,Indiranagar,Dessert Parlor,others,500,Delivery
Burger Bite House,Yes,No,good,0,Old Airport Road,Quick Bites,"Burger, Fast Food",500,Delivery
Meenu Oota Da Maane,Yes,No,bad,22,Brigade Road,Casual Dining,others,700,Delivery
Lepcha Foods & Refreshment,Yes,No,bad,15,others,"Takeaway, Delivery","Chinese, Momos",350,Delivery
Zaica Dine & Wine,Yes,Yes,insane,1013,Indiranagar,Casual Dining,North Indian,1200,Delivery
Fresh Bites,No,No,bad,15,Indiranagar,"Takeaway, Delivery",others,450,Delivery
The Coffee Bean & Tea Leaf,Yes,No,good,259,MG Road,Cafe,Cafe,700,Delivery
Onesta,Yes,Yes,insane,4645,Indiranagar,others,others,600,Delivery
Ghar Ki Rasoi,Yes,No,bad,48,Indiranagar,Delivery,others,500,Delivery
The ThickShake Factory,No,No,insane,120,Indiranagar,others,others,350,Delivery
Lakeview Milkbar,No,No,bad,539,Indiranagar,others,others,500,Delivery
Kasol Cafe,No,No,good,0,Indiranagar,Quick Bites,others,400,Delivery
Kettle & Kegs,Yes,No,good,0,Indiranagar,Delivery,others,200,Delivery
The Souk,Yes,No,good,66,Ulsoor,Cafe,others,800,Delivery
The Grill House,Yes,Yes,insane,765,Ulsoor,"Casual Dining, Bar",others,1200,Delivery
Just Eat,Yes,No,good,0,Indiranagar,Quick Bites,others,500,Delivery
Hotel Ramprasad,Yes,No,insane,93,Brigade Road,Quick Bites,"South Indian, Chinese",300,Delivery
Happy Belly Bakes,Yes,No,insane,115,MG Road,others,"Cafe, Bakery",500,Delivery
China South,Yes,No,good,0,Brigade Road,Casual Dining,others,600,Delivery
Desi Streat,Yes,No,good,0,Brigade Road,others,others,400,Delivery
The J,Yes,No,insane,133,Church Street,Quick Bites,"Fast Food, Beverages",450,Delivery
Clean Bowled,Yes,No,good,0,Indiranagar,"Takeaway, Delivery",others,300,Delivery
Shreedevi,No,No,good,130,Indiranagar,Quick Bites,others,600,Delivery
Nandhini Paradise,No,Yes,good,289,Indiranagar,Casual Dining,North Indian,600,Delivery
Kabab Magic,Yes,No,good,73,Richmond Road,Casual Dining,others,400,Delivery
Just Khao Suey,Yes,No,insane,176,Indiranagar,Casual Dining,others,600,Delivery
GOOD MEALS,Yes,No,good,0,Indiranagar,"Takeaway, Delivery","North Indian, South Indian",250,Delivery
Just Bake,Yes,No,bad,51,others,Bakery,"Bakery, Desserts",400,Delivery
Kevins Kitchen,Yes,No,good,103,Koramangala 6th Block,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery
Khan Saheb Grills and Rolls,Yes,No,insane,1072,Indiranagar,Quick Bites,"Fast Food, Rolls",350,Delivery
OCEA HOTEL,Yes,No,good,278,Brigade Road,Casual Dining,"North Indian, Chinese, Seafood",800,Delivery
Berrylicious Cafe,Yes,No,insane,124,MG Road,others,others,900,Delivery
